Vardas              Pavarde             ND1	   ND2	   ND3	   ND4	   ND5	   ND6	   ND7	   ND8	   ND9	   ND10	  Egz.
Vardas231           Pavarde231          8    	3    	8    	2    	6    	8    	9    	2    	2    	7    	7    	
Vardas232           Pavarde232          4    	6    	7    	4    	7    	7    	3    	4    	10   	4    	7    	
Vardas233           Pavarde233          7    	3    	4    	2    	10   	10   	9    	2    	5    	7    	4    	
Vardas234           Pavarde234          2    	7    	2    	6    	3    	10   	6    	6    	3    	4    	1    	
Vardas235           Pavarde235          9    	7    	6    	10   	6    	6    	7    	5    	8    	6    	6    	
Vardas236           Pavarde236          3    	5    	3    	3    	5    	6    	3    	10   	2    	3    	5    	
Vardas237           Pavarde237          10   	2    	2    	3    	1    	8    	9    	9    	4    	6    	3    	
Vardas238           Pavarde238          3    	9    	7    	2    	4    	1    	8    	6    	3    	4    	10   	
Vardas239           Pavarde239          10   	1    	6    	6    	7    	4    	6    	4    	4    	6    	9    	
Vardas240           Pavarde240          7    	1    	9    	3    	8    	10   	6    	1    	7    	4    	7    	
Vardas241           Pavarde241          5    	4    	8    	2    	8    	1    	10   	8    	2    	5    	10   	
Vardas242           Pavarde242          9    	1    	5    	7    	4    	10   	5    	6    	7    	9    	5    	
Vardas243           Pavarde243          1    	2    	1    	5    	6    	1    	4    	7    	4    	4    	7    	
Vardas244           Pavarde244          9    	9    	4    	1    	1    	3    	3    	7    	3    	4    	10   	
Vardas245           Pavarde245          9    	9    	10   	10   	1    	4    	3    	2    	7    	6    	3    	
Vardas246           Pavarde246          10   	10   	9    	6    	1    	10   	2    	10   	9    	9    	2    	
Vardas247           Pavarde247          4    	6    	4    	5    	1    	9    	6    	6    	10   	3    	1    	
Vardas248           Pavarde248          1    	2    	1    	10   	10   	8    	2    	9    	3    	2    	6    	
Vardas249           Pavarde249          2    	5    	6    	10   	1    	4    	9    	6    	1    	10   	10   	
Vardas250           Pavarde250          2    	10   	6    	4    	10   	8    	9    	8    	8    	1    	1    	
Vardas251           Pavarde251          9    	5    	5    	10   	9    	9    	1    	6    	7    	1    	6    	
Vardas252           Pavarde252          8    	2    	3    	9    	1    	3    	8    	4    	10   	8    	8    	
Vardas253           Pavarde253          2    	7    	6    	10   	6    	4    	8    	8    	10   	3    	9    	
Vardas254           Pavarde254          10   	7    	8    	9    	8    	4    	6    	2    	10   	6    	8    	
Vardas255           Pavarde255          2    	5    	10   	1    	5    	1    	6    	6    	2    	8    	7    	
Vardas256           Pavarde256          5    	6    	7    	2    	1    	2    	1    	3    	9    	6    	1    	
Vardas257           Pavarde257          3    	3    	5    	7    	4    	7    	7    	6    	5    	6    	7    	
Vardas258           Pavarde258          2    	7    	6    	7    	9    	7    	1    	4    	10   	8    	4    	
Vardas259           Pavarde259          10   	3    	4    	6    	2    	6    	4    	4    	3    	10   	9    	
Vardas260           Pavarde260          5    	2    	7    	2    	10   	9    	8    	6    	2    	7    	4    	
Vardas261           Pavarde261          10   	5    	9    	8    	10   	9    	7    	10   	2    	1    	2    	
Vardas262           Pavarde262          9    	5    	3    	5    	7    	2    	8    	7    	9    	7    	5    	
Vardas263           Pavarde263          9    	7    	5    	1    	5    	5    	9    	6    	8    	7    	7    	
Vardas264           Pavarde264          3    	2    	9    	4    	10   	5    	1    	4    	7    	6    	7    	
Vardas265           Pavarde265          7    	1    	7    	3    	2    	2    	7    	7    	2    	4    	6    	
Vardas266           Pavarde266          8    	8    	3    	10   	10   	8    	4    	8    	1    	1    	8    	
Vardas267           Pavarde267          8    	10   	3    	3    	4    	8    	6    	6    	7    	5    	8    	
Vardas268           Pavarde268          9    	5    	6    	7    	2    	8    	3    	6    	2    	3    	4    	
Vardas269           Pavarde269          4    	6    	9    	6    	6    	7    	6    	10   	7    	6    	6    	
Vardas270           Pavarde270          1    	7    	1    	9    	8    	8    	9    	5    	4    	6    	1    	
Vardas271           Pavarde271          5    	6    	6    	3    	9    	5    	2    	5    	8    	4    	8    	
Vardas272           Pavarde272          3    	2    	8    	7    	9    	7    	10   	10   	8    	3    	7    	
Vardas273           Pavarde273          5    	10   	3    	5    	8    	2    	1    	8    	2    	8    	2    	
Vardas274           Pavarde274          10   	6    	5    	3    	8    	2    	8    	8    	2    	8    	1    	
Vardas275           Pavarde275          2    	6    	8    	7    	2    	3    	9    	3    	8    	10   	4    	
Vardas276           Pavarde276          5    	8    	5    	10   	6    	5    	2    	4    	2    	6    	8    	
Vardas277           Pavarde277          8    	1    	3    	10   	10   	4    	3    	1    	1    	6    	5    	
Vardas278           Pavarde278          2    	4    	6    	9    	8    	2    	8    	3    	10   	9    	7    	
Vardas279           Pavarde279          3    	2    	3    	9    	1    	3    	5    	6    	2    	1    	1    	
Vardas280           Pavarde280          9    	7    	4    	10   	2    	4    	10   	4    	3    	9    	1    	
Vardas281           Pavarde281          10   	8    	7    	7    	5    	6    	4    	9    	10   	3    	1    	
Vardas282           Pavarde282          1    	9    	6    	3    	2    	5    	6    	10   	3    	6    	10   	
Vardas283           Pavarde283          4    	8    	1    	3    	6    	10   	6    	5    	3    	2    	1    	
Vardas284           Pavarde284          2    	10   	7    	1    	1    	4    	8    	10   	5    	3    	6    	
Vardas285           Pavarde285          6    	5    	9    	5    	7    	6    	1    	2    	3    	9    	2    	
Vardas286           Pavarde286          3    	9    	4    	9    	9    	10   	5    	9    	10   	7    	7    	
Vardas287           Pavarde287          5    	8    	1    	1    	5    	2    	8    	4    	3    	10   	9    	
Vardas288           Pavarde288          4    	2    	2    	8    	1    	3    	1    	10   	9    	4    	9    	
Vardas289           Pavarde289          6    	4    	2    	5    	6    	1    	7    	9    	1    	4    	8    	
Vardas290           Pavarde290          7    	9    	4    	7    	9    	4    	10   	6    	2    	1    	9    	
Vardas291           Pavarde291          10   	7    	9    	1    	1    	10   	5    	10   	5    	2    	10   	
Vardas292           Pavarde292          9    	3    	10   	9    	1    	2    	4    	9    	6    	5    	3    	
Vardas293           Pavarde293          3    	7    	2    	9    	3    	8    	10   	9    	5    	5    	7    	
Vardas294           Pavarde294          10   	1    	2    	4    	4    	6    	4    	8    	4    	2    	6    	
Vardas295           Pavarde295          9    	5    	6    	10   	5    	6    	10   	3    	2    	8    	8    	
