Vardas              Pavarde             ND1	   ND2	   ND3	   ND4	   ND5	   ND6	   ND7	   ND8	   ND9	   ND10	  Egz.
Vardas159           Pavarde159          5    	8    	3    	10   	7    	1    	10   	5    	5    	4    	9    	
Vardas160           Pavarde160          6    	8    	5    	7    	5    	9    	8    	10   	3    	5    	6    	
Vardas161           Pavarde161          10   	9    	7    	6    	10   	7    	10   	8    	1    	9    	1    	
Vardas162           Pavarde162          7    	9    	6    	4    	6    	5    	10   	1    	8    	4    	6    	
Vardas163           Pavarde163          1    	8    	10   	1    	4    	5    	2    	7    	8    	8    	3    	
Vardas164           Pavarde164          2    	7    	8    	6    	10   	10   	2    	4    	3    	6    	4    	
Vardas165           Pavarde165          6    	7    	10   	10   	9    	7    	4    	6    	2    	5    	5    	
Vardas166           Pavarde166          7    	9    	10   	10   	5    	6    	10   	5    	4    	4    	1    	
Vardas167           Pavarde167          10   	2    	1    	7    	6    	1    	2    	6    	7    	3    	5    	
Vardas168           Pavarde168          8    	6    	9    	8    	5    	3    	6    	3    	2    	7    	6    	
Vardas169           Pavarde169          3    	7    	10   	7    	1    	3    	3    	2    	10   	6    	1    	
Vardas170           Pavarde170          3    	4    	6    	5    	5    	9    	4    	3    	5    	3    	6    	
Vardas171           Pavarde171          4    	2    	10   	8    	2    	6    	8    	7    	6    	4    	8    	
Vardas172           Pavarde172          9    	1    	3    	4    	4    	1    	2    	8    	8    	1    	9    	
Vardas173           Pavarde173          6    	10   	6    	9    	9    	2    	3    	6    	6    	4    	9    	
Vardas174           Pavarde174          8    	6    	7    	9    	4    	4    	10   	3    	8    	7    	9    	
Vardas175           Pavarde175          10   	4    	8    	10   	3    	7    	3    	9    	9    	3    	1    	
Vardas176           Pavarde176          10   	8    	1    	8    	5    	2    	3    	4    	4    	9    	3    	
Vardas177           Pavarde177          9    	9    	1    	8    	3    	6    	2    	2    	10   	1    	2    	
Vardas178           Pavarde178          5    	2    	1    	7    	5    	3    	9    	6    	10   	2    	1    	
Vardas179           Pavarde179          9    	6    	4    	1    	6    	5    	6    	2    	9    	2    	4    	
Vardas180           Pavarde180          10   	7    	7    	3    	4    	4    	6    	2    	4    	9    	2    	
Vardas181           Pavarde181          5    	2    	6    	9    	1    	10   	1    	1    	7    	10   	8    	
Vardas182           Pavarde182          1    	8    	4    	1    	10   	9    	7    	5    	3    	7    	8    	
Vardas183           Pavarde183          9    	2    	4    	10   	8    	8    	3    	10   	2    	1    	8    	
Vardas184           Pavarde184          1    	7    	9    	6    	4    	7    	1    	1    	5    	6    	8    	
Vardas185           Pavarde185          1    	4    	10   	6    	3    	5    	9    	10   	6    	6    	6    	
Vardas186           Pavarde186          5    	8    	2    	1    	10   	6    	8    	7    	10   	8    	1    	
Vardas187           Pavarde187          1    	1    	6    	1    	3    	2    	5    	1    	7    	1    	8    	
Vardas188           Pavarde188          6    	10   	4    	1    	7    	4    	4    	10   	2    	5    	7    	
Vardas189           Pavarde189          8    	10   	10   	8    	1    	2    	10   	2    	5    	7    	7    	
Vardas190           Pavarde190          4    	7    	7    	2    	4    	7    	2    	4    	5    	3    	5    	
Vardas191           Pavarde191          3    	5    	2    	1    	10   	2    	7    	9    	6    	2    	6    	
Vardas192           Pavarde192          10   	9    	8    	6    	7    	7    	7    	1    	9    	4    	1    	
Vardas193           Pavarde193          6    	2    	10   	3    	2    	4    	4    	5    	9    	6    	9    	
Vardas194           Pavarde194          8    	4    	6    	1    	8    	9    	7    	7    	8    	10   	4    	
Vardas195           Pavarde195          10   	2    	1    	9    	4    	3    	5    	7    	8    	3    	7    	
Vardas196           Pavarde196          4    	10   	7    	9    	5    	2    	1    	1    	5    	9    	5    	
Vardas197           Pavarde197          3    	9    	2    	2    	2    	9    	3    	8    	6    	9    	1    	
Vardas198           Pavarde198          9    	9    	10   	5    	2    	6    	9    	9    	6    	2    	3    	
Vardas199           Pavarde199          1    	2    	1    	5    	10   	6    	2    	2    	7    	9    	5    	
Vardas200           Pavarde200          4    	3    	9    	3    	7    	10   	1    	4    	4    	5    	2    	
Vardas201           Pavarde201          6    	8    	4    	5    	10   	5    	7    	7    	2    	3    	5    	
Vardas202           Pavarde202          2    	9    	4    	5    	5    	1    	6    	1    	1    	10   	3    	
Vardas203           Pavarde203          6    	9    	2    	8    	8    	9    	1    	10   	3    	7    	1    	
Vardas204           Pavarde204          7    	2    	8    	5    	4    	7    	1    	9    	3    	3    	3    	
Vardas205           Pavarde205          4    	4    	7    	1    	6    	7    	4    	9    	2    	5    	1    	
Vardas206           Pavarde206          7    	4    	1    	1    	8    	6    	4    	7    	9    	7    	8    	
Vardas207           Pavarde207          5    	6    	9    	6    	7    	2    	9    	2    	7    	6    	1    	
Vardas208           Pavarde208          2    	6    	3    	7    	4    	2    	7    	3    	5    	9    	5    	
Vardas209           Pavarde209          1    	5    	10   	6    	1    	6    	1    	4    	8    	2    	4    	
Vardas210           Pavarde210          1    	2    	8    	4    	5    	10   	1    	7    	9    	8    	6    	
Vardas211           Pavarde211          3    	4    	9    	10   	1    	5    	8    	1    	8    	5    	6    	
Vardas212           Pavarde212          8    	7    	6    	2    	4    	5    	2    	5    	2    	8    	7    	
Vardas213           Pavarde213          3    	3    	3    	5    	9    	2    	8    	8    	7    	1    	7    	
Vardas214           Pavarde214          10   	8    	3    	10   	7    	1    	2    	3    	5    	7    	5    	
Vardas215           Pavarde215          1    	10   	10   	6    	2    	9    	7    	9    	5    	3    	4    	
Vardas216           Pavarde216          7    	5    	4    	8    	7    	10   	1    	1    	5    	9    	4    	
Vardas217           Pavarde217          6    	10   	9    	6    	10   	4    	10   	7    	5    	4    	5    	
Vardas218           Pavarde218          6    	7    	5    	9    	3    	10   	9    	1    	10   	1    	7    	
Vardas219           Pavarde219          3    	1    	7    	8    	9    	8    	4    	5    	4    	1    	5    	
Vardas220           Pavarde220          5    	8    	8    	7    	4    	10   	7    	9    	9    	8    	6    	
Vardas221           Pavarde221          4    	3    	6    	4    	3    	6    	1    	7    	2    	7    	3    	
Vardas222           Pavarde222          10   	1    	6    	7    	7    	10   	5    	5    	2    	5    	9    	
Vardas223           Pavarde223          8    	1    	5    	3    	6    	7    	4    	1    	1    	3    	10   	
Vardas224           Pavarde224          8    	3    	3    	9    	8    	6    	7    	10   	5    	4    	6    	
Vardas225           Pavarde225          4    	5    	3    	10   	1    	8    	7    	7    	7    	6    	4    	
Vardas226           Pavarde226          9    	5    	8    	5    	6    	8    	3    	6    	7    	3    	4    	
Vardas227           Pavarde227          6    	9    	4    	10   	3    	2    	10   	8    	8    	10   	5    	
Vardas228           Pavarde228          2    	3    	4    	7    	10   	7    	8    	8    	10   	9    	7    	
Vardas229           Pavarde229          6    	1    	5    	2    	3    	9    	10   	8    	1    	3    	8    	
Vardas230           Pavarde230          4    	8    	4    	7    	7    	7    	3    	5    	9    	5    	5    	
Vardas231           Pavarde231          2    	9    	5    	9    	9    	7    	8    	1    	1    	7    	9    	
Vardas232           Pavarde232          1    	7    	6    	3    	3    	6    	6    	7    	6    	1    	8    	
Vardas233           Pavarde233          6    	1    	4    	1    	7    	9    	8    	6    	5    	10   	3    	
Vardas234           Pavarde234          5    	10   	6    	6    	8    	8    	3    	4    	5    	10   	6    	
Vardas235           Pavarde235          6    	10   	4    	7    	9    	1    	10   	8    	4    	3    	8    	
Vardas236           Pavarde236          5    	7    	8    	2    	10   	2    	7    	5    	6    	3    	9    	
Vardas237           Pavarde237          9    	8    	3    	2    	6    	5    	5    	4    	8    	6    	9    	
Vardas238           Pavarde238          5    	10   	5    	3    	3    	9    	3    	4    	5    	6    	7    	
Vardas239           Pavarde239          6    	9    	10   	1    	8    	9    	8    	2    	3    	7    	1    	
Vardas240           Pavarde240          2    	3    	2    	6    	5    	10   	4    	8    	4    	4    	3    	
Vardas241           Pavarde241          4    	3    	4    	8    	8    	2    	10   	1    	3    	4    	1    	
Vardas242           Pavarde242          4    	1    	7    	3    	10   	1    	7    	10   	8    	6    	6    	
Vardas243           Pavarde243          10   	6    	2    	7    	10   	5    	3    	3    	9    	6    	5    	
Vardas244           Pavarde244          4    	3    	10   	2    	1    	4    	6    	10   	3    	3    	9    	
Vardas245           Pavarde245          7    	8    	9    	4    	5    	1    	9    	2    	1    	4    	3    	
Vardas246           Pavarde246          4    	4    	9    	2    	9    	2    	7    	7    	9    	9    	5    	
Vardas247           Pavarde247          2    	6    	10   	1    	3    	10   	10   	5    	3    	4    	7    	
Vardas248           Pavarde248          6    	3    	2    	1    	7    	6    	5    	6    	8    	8    	9    	
Vardas249           Pavarde249          2    	9    	6    	8    	3    	9    	10   	2    	9    	3    	2    	
Vardas250           Pavarde250          7    	3    	6    	2    	3    	10   	1    	6    	1    	7    	7    	
Vardas251           Pavarde251          2    	4    	8    	5    	7    	8    	2    	7    	8    	8    	2    	
Vardas252           Pavarde252          9    	6    	5    	5    	3    	2    	8    	8    	3    	3    	1    	
Vardas253           Pavarde253          10   	2    	9    	8    	8    	1    	10   	3    	9    	9    	5    	
Vardas254           Pavarde254          5    	5    	3    	9    	9    	8    	6    	2    	5    	3    	9    	
Vardas255           Pavarde255          10   	6    	6    	4    	7    	1    	1    	3    	7    	7    	2    	
Vardas256           Pavarde256          2    	10   	10   	9    	3    	1    	6    	1    	1    	6    	1    	
Vardas257           Pavarde257          3    	6    	8    	6    	6    	3    	6    	5    	5    	5    	9    	
Vardas258           Pavarde258          7    	10   	8    	4    	5    	2    	1    	9    	1    	9    	6    	
Vardas259           Pavarde259          6    	6    	8    	2    	10   	10   	6    	9    	7    	4    	3    	
Vardas260           Pavarde260          2    	9    	10   	2    	2    	9    	4    	7    	8    	9    	4    	
Vardas261           Pavarde261          4    	9    	5    	9    	9    	5    	6    	1    	2    	10   	1    	
Vardas262           Pavarde262          10   	1    	10   	3    	4    	9    	5    	7    	7    	8    	10   	
Vardas263           Pavarde263          2    	3    	3    	1    	3    	10   	2    	8    	1    	10   	1    	
Vardas264           Pavarde264          6    	7    	5    	10   	8    	7    	1    	4    	4    	7    	8    	
Vardas265           Pavarde265          8    	7    	10   	9    	10   	8    	6    	6    	8    	8    	4    	
Vardas266           Pavarde266          8    	1    	10   	7    	1    	3    	5    	4    	1    	8    	7    	
Vardas267           Pavarde267          10   	3    	2    	4    	1    	2    	8    	9    	7    	3    	2    	
Vardas268           Pavarde268          6    	1    	9    	7    	2    	5    	7    	7    	9    	10   	2    	
Vardas269           Pavarde269          6    	9    	7    	10   	2    	8    	9    	9    	10   	7    	2    	
Vardas270           Pavarde270          2    	4    	8    	9    	10   	1    	8    	8    	5    	9    	4    	
Vardas271           Pavarde271          1    	7    	7    	8    	8    	7    	2    	7    	6    	2    	4    	
Vardas272           Pavarde272          7    	6    	7    	9    	5    	2    	10   	2    	2    	6    	8    	
Vardas273           Pavarde273          9    	6    	9    	4    	3    	7    	9    	6    	9    	7    	1    	
Vardas274           Pavarde274          3    	4    	4    	1    	3    	4    	2    	3    	3    	8    	10   	
Vardas275           Pavarde275          8    	1    	8    	5    	1    	7    	5    	7    	1    	2    	4    	
Vardas276           Pavarde276          1    	10   	5    	2    	2    	7    	9    	8    	10   	3    	4    	
Vardas277           Pavarde277          6    	9    	4    	4    	8    	2    	3    	6    	6    	10   	5    	
Vardas278           Pavarde278          2    	2    	8    	8    	10   	3    	1    	2    	7    	4    	2    	
Vardas279           Pavarde279          9    	4    	8    	1    	8    	6    	6    	3    	3    	4    	5    	
Vardas280           Pavarde280          6    	1    	10   	7    	10   	1    	5    	5    	4    	2    	9    	
Vardas281           Pavarde281          4    	1    	5    	7    	4    	10   	9    	2    	1    	10   	3    	
Vardas282           Pavarde282          5    	8    	5    	9    	6    	8    	1    	7    	9    	10   	6    	
Vardas283           Pavarde283          4    	8    	4    	2    	7    	1    	6    	6    	2    	2    	2    	
Vardas284           Pavarde284          1    	3    	10   	7    	3    	1    	8    	9    	9    	5    	7    	
Vardas285           Pavarde285          10   	10   	2    	6    	6    	3    	9    	3    	8    	4    	10   	
Vardas286           Pavarde286          6    	6    	5    	9    	4    	9    	3    	10   	10   	5    	5    	
Vardas287           Pavarde287          8    	7    	4    	6    	6    	9    	5    	7    	9    	7    	5    	
Vardas288           Pavarde288          5    	2    	5    	6    	1    	6    	4    	3    	4    	1    	10   	
Vardas289           Pavarde289          5    	1    	5    	5    	6    	4    	5    	1    	7    	5    	6    	
Vardas290           Pavarde290          7    	7    	7    	3    	7    	1    	6    	6    	6    	2    	6    	
Vardas291           Pavarde291          2    	9    	10   	3    	7    	3    	4    	1    	9    	2    	5    	
Vardas292           Pavarde292          9    	4    	10   	7    	1    	4    	9    	6    	9    	5    	3    	
Vardas293           Pavarde293          3    	7    	5    	9    	9    	8    	2    	4    	3    	7    	6    	
Vardas294           Pavarde294          9    	5    	2    	5    	1    	6    	5    	2    	5    	9    	6    	
Vardas295           Pavarde295          6    	7    	10   	9    	5    	2    	4    	2    	2    	5    	6    	
